word,is_eng,is_cro
aktiviralo,0,1
štih,0,1
izroniti,0,1
pijanizam,0,1
vrimenom,0,1
stvarno,0,1
srušilo,0,1
mesopusne,0,1
postat,0,1
pristupačnijem,0,1
planske,0,1
riskiranja,0,1
krimska,0,1
dvominutna,0,1
šank,0,1
najsavršenijim,0,1
kitolova,0,1
prikupi,0,1
plesnije,0,1
patetičnost,0,1
beogradskoga,0,1
izraslih,0,1
jedincem,0,1
maršom,0,1
kapnite,0,1
parate,0,1
mangu,0,1
upečatljivom,0,1
neusporedivoj,0,1
odaslao,0,1
dajmo,0,1
ispušemo,0,1
skučenost,0,1
priključen,0,1
raskolio,0,1
tovili,0,1
pokrenuli,0,1
lunjske,0,1
ostariš,0,1
plažnog,0,1
mađarizaciji,0,1
plugove,0,1
golčine,0,1
karavanskih,0,1
opstrukcijska,0,1
neposlušan,0,1
potrošačkim,0,1
predgrađem,0,1
prikačena,0,1
memoarski,0,1
bradatu,0,1
maštovitost,0,1
raskrivenim,0,1
programiraju,0,1
jazik,0,1
brižljive,0,1
čuvstava,0,1
opširnog,0,1
njihv,0,1
dikciju,0,1
lagodne,0,1
indirektnu,0,1
najkorištenija,0,1
izleta,0,1
svemirske,0,1
procjenila,0,1
megdan,0,1
tampon-zona,0,1
zemljišnog,0,1
đava,0,1
kastrirana,0,1
topole,0,1
prodaja,0,1
orbitalnog,0,1
ispitam,0,1
prikupljan,0,1
karmelska,0,1
ustanovljenim,0,1
promocijski,0,1
okitile,0,1
mjerljivu,0,1
plaćama,0,1
tampone,0,1
glazben,0,1
čabarski,0,1
socijalisti,0,1
stresovima,0,1
pravašu,0,1
mikrokredite,0,1
praznoglavi,0,1
potpišete,0,1
provezu,0,1
potrčale,0,1
asfaltirani,0,1
pogubljenja,0,1
poskočice,0,1
isisanih,0,1
najizdržljivijim,0,1
žurbom,0,1
sjeveroistočne,0,1
gotovinski,0,1
predsjednk,0,1
prizanja,0,1
poletni,0,1
zmijama,0,1
selica,0,1
izvijesio,0,1
robotizacije,0,1
videoradove,0,1
potegnete,0,1
prekrajati,0,1
kolpa,0,1
krnjih,0,1
podsmjehivao,0,1
najljekovitiji,0,1
osnovoj,0,1
ceramidima,0,1
osnivačicom,0,1
omotači,0,1
zahvaćamo,0,1
perverziju,0,1
izotopne,0,1
zasjeni,0,1
prekapaju,0,1
bespravne,0,1
čistiti,0,1
tjeskoban,0,1
udvarate,0,1
superračunala,0,1
ne-hodgkinov,0,1
najblistavija,0,1
maštarijama,0,1
farmakoterapiji,0,1
kratku,0,1
skočivši,0,1
slala,0,1
pomirljivi,0,1
združivanju,0,1
bodybuilderice,1,0
odgurnu,0,1
fusiona,1,0
najpravilnije,0,1
obračunavanje,0,1
harvardski,0,1
prikazanoj,0,1
ugrađujemo,0,1
stilistiku,0,1
sviraš,0,1
frižiderima,0,1
dvomeč,0,1
biralištima,0,1
krilatice,0,1
botuna,0,1
haljinicama,0,1
stećaka,0,1
dopuštao,0,1
nastavljača,0,1
glasačkog,0,1
izrugivalo,0,1
zloćudnom,0,1
blokovima,0,1
kipućeg,0,1
osmoškolske,0,1
djelimo,0,1
pljačkanjem,0,1
kreacijom,0,1
mitohondrij,0,1
sirotom,0,1
propćila,0,1
repertoarna,0,1
makrofaga,0,1
anni,0,0
nenaviklima,0,1
teatralizacije,0,1
najčuveniju,0,1
namoče,0,1
opljačkavši,0,1
sastojat,0,1
kihnuti,0,1
kreacije,0,1
četrnaestogodišnjom,0,1
transparentim,0,1
katovima,0,1
prethodnoga,0,1
dinarskoj,0,1
zbirci,0,1
nacionalne,0,1
primordijalnih,0,1
višejezične,0,1
mirovao,0,1
kinomreži,0,1
uznapredovalog,0,1
komanditno,0,1
omiljena,0,1
prvostupnica,0,1
individualni,0,1
peraču,0,1
iskorjenjenje,0,1
kliktanje,0,1
ubrala,0,1
pitanjima,0,1
braniteljicu,0,1
kijevske,0,1
skrotumu,0,1
svetištu,0,1
grafenom,0,1
izrekne,0,1
zluradih,0,1
prebogatim,0,1
govornu,0,1
načelnicu,0,1
legendarnoj,0,1
volana,0,1
anonimusa,0,1
grudnjaku,0,1
pljeva,0,1
otključavati,0,1
žiro-računu,0,1
zagrljen,0,1
jugaša,0,1
uljuljkanosti,0,1
virmanom,0,1
rasizmom,0,1
pomnog,0,1
tradicijski,0,1
godišnjaci,0,1
okoštava,0,1
e-spisa,0,1
suizlagači,0,1
protiviti,0,1
najmnogoljudnijeg,0,1
glinska,0,1
nekolegijalno,0,1
pobožnost,0,1
predsmrtni,0,1
obračunavale,0,1
zlostavljanoj,0,1
predselekcije,0,1
međupresuda,0,1
zelenkasto,0,1
hipersoničnog,0,1
cura,0,1
motorole,0,1
djelima,0,1
vješalicom,0,1
grčka,0,1
blokiranjem,0,1
pedagošku,0,1
lopovskim,0,1
polaskano,0,1
raznježim,0,1
povijesno-politički,0,1
bescarinski,0,1
ocvali,0,1
odlikuju,0,1
otkupljivači,0,1
dokučive,0,1
puhačku,0,1
podsaveza,0,1
mliko,0,1
samostvaranja,0,1
kooperantu,0,1
dezintegrirati,0,1
međunacionalne,0,1
društevnoj,0,1
kontraobavještajca,0,1
vidjesmo,0,1
cehovsko,0,1
nadraženo,0,1
prodiranje,0,1
supruginim,0,1
nadražiti,0,1
orgazmima,0,1
spartanskog,0,1
odvratan,0,1
kvotni,0,1
logore,0,1
vektorske,0,1
namiču,0,1
neoguljenu,0,1
tutnji,0,1
artikulirala,0,1
hrvatsko-brazilski,0,1
pregrijanog,0,1
fotosession,1,0
jezgrovitosti,0,1
nezajažljivosti,0,1
termalnom,0,1
domaće,0,1
odgovornije,0,1
odstupnica,0,1
izabravši,0,1
ustrajni,0,1
latinoameričku,0,1
javiti,0,1
bludnici,0,1
nautičkoj,0,1
gričkog,0,1
sugestivnu,0,1
senzualnu,0,1
najoštrija,0,1
gotova,0,1
fuzionirati,0,1
ispolitiziranog,0,1
proročko,0,1
uzvisinama,0,1
reprezentativan,0,1
zaglađeni,0,1
plinskoga,0,1
ograničavajućim,0,1
građevinarskih,0,1
uskakanje,0,1
biračkome,0,1
uskrate,0,1
monolitnim,0,1
krugovaša,0,1
reinterpretacijama,0,1
vanzemaljcima,0,1
smirenije,0,1
finacija,0,1
zaštitinih,0,1
fitoestrogeni,0,1
pogubio,0,1
zamolivši,0,1
plutajućoj,0,1
pristrana,0,1
elektrokemijske,0,1
iračkim,0,1
ukomponiranih,0,1
vinogorjem,0,1
magarećih,0,1
rasteretim,0,1
posati,0,1
žabicama,0,1
umrtvilo,0,1
jednokatna,0,1
maltretiranjima,0,1
neuspješnost,0,1
poravnamo,0,1
nekomu,0,1
pakuju,0,1
maslinarskoj,0,1
kitovi,0,1
pakiranje,0,1
kumstva,0,1
špiljskog,0,1
novopostavljena,0,1
utopijski,0,1
fleševe,0,1
vrijedećim,0,1
opjevana,0,1
škverskom,0,1
ispitujete,0,1
jetrene,0,1
martu,0,1
e-izdavanje,0,1
vinarstvu,0,1
ovršnih,0,1
komesara,0,1
ričući,0,1
povećava,0,1
povoljni,0,1
katolicima,0,1
krkljanca,0,1
okvirnih,0,1
uzbuđujte,0,1
pogrebni,0,1
sumještanki,0,1
pedikura,0,1
božićnjak,0,1
obredu,0,1
pepeljare,0,1
razapinju,0,1
sramiš,0,1
licemjer,0,1
izumiru,0,1
građevinske,0,1
respektirani,0,1
cvjetače,0,1
sinkronizirati,0,1
zubotehničar,0,1
cvjećarka,0,1
pedalinom,0,1
obljetničkog,0,1
fajrunt,0,1
manastiru,0,1
preuveličano,0,1
destabilizira,0,1
udvostručila,0,1
najkompleksnijih,0,1
pet-šest,0,1
izmišljotina,0,1
urbanist,0,1
tromjesečna,0,1
stajaćeg,0,1
kucka,0,1
nadvladao,0,1
nadoplatiti,0,1
nenadomjestiv,0,1
dilovima,0,1
viskijem,0,1
prisustvovalo,0,1
selekcionirani,0,1
lošijim,0,1
okupator,0,1
presavijeno,0,1
preuzimanje,0,1
lamperiju,0,1
škotskoj,0,1
djelomično,0,1
sklepan,0,1
standalone,0,1
keramičarskoj,0,1
situacijima,0,1
presuho,0,1
dingaču,0,1
utemeljenom,0,1
regata,0,1
zadatcima,0,1
razdražljivi,0,1
monotone,0,1
sastavite,0,1
projiciranih,0,1
baka,0,1
prorežimska,0,1
vinopija,0,1
kupujete,0,1
tetanusom,0,1
bonom,0,1
prorektor,0,1
zbunjujuću,0,1
unutarnjem,0,1
radarski,0,1
tratorije,0,1
pročišćenost,0,1
obrezivanje,0,1
najnižom,0,1
dijeljenjem,0,1
pritvorilo,0,1
amerikanizaciju,0,1
algoritama,0,1
najamninom,0,1
nepresuđenom,0,1
zrakoplovnom,0,1
križali,0,1
bombaša,0,1
misliocem,0,1
dopisnice,0,1
sadržajnica,0,1
detuđmanizirali,0,1
naribajte,0,1
registirala,0,1
ksenofobnog,0,1
ujedinimo,0,1
priključuju,0,1
opisnih,0,1
lakirate,0,1
preživjelih,0,1
stočne,0,1
košticama,0,1
vozija,0,1
izdignuli,0,1
analgetikom,0,1
twinturbo,1,0
shits,1,0
crnog,0,1
prenapuhana,0,1
plasiranu,0,1
drugoplasirane,0,1
koalirati,0,1
gracioznošću,0,1
euforijom,0,1
nakalemio,0,1
vješto,0,1
sekundica,0,1
ispunjenijeg,0,1
šankericu,0,1
poučavate,0,1
tehnokratsko,0,1
markiran,0,1
hardverska,0,1
naslikavao,0,1
tepala,0,1
podjeliti,0,1
kolutovima,0,1
surogatno,0,1
neodvojivog,0,1
rastavilo,0,1
mekoći,0,1
osvještavamo,0,1
odzvanjaju,0,1
riješavati,0,1
isječena,0,1
istrijebljena,0,1
pasivni,0,1
tekvondaša,0,1
kanaliziran,0,1
alu-naplatke,0,1
upucaj,0,1
odlučivali,0,1
antigravitacijski,0,1
nasrtljivog,0,1
antieuropske,0,1
like,1,0
izraslinom,0,1
frcanje,0,1
besprijekornoj,0,1
teretnoga,0,1
spektakularniju,0,1
masaži,0,1
spartanskim,0,1
gitarijade,0,1
začudila,0,1
pšeničnim,0,1
transkripta,0,1
episkopalni,0,1
zboraši,0,1
umilni,0,1
supotpisuje,0,1
primitkom,0,1
zahtjevom,0,1
strahovanju,0,1
bivanjem,0,1
bezopasna,0,1
backend,1,0
tv-kanalima,0,1
odsjedanja,0,1
zataknute,0,1
nepredvidljivih,0,1
uspješnice,0,1
otploviti,0,1
delikvenciju,0,1
taloženju,0,1
promatra,0,1
eurokvalifikacijskoj,0,1
ogradila,0,1
dodjeljivana,0,1
krojačkoj,0,1
ugrožena,0,1
upinjali,0,1
performativnog,0,1
neadekvatnom,0,1
supotpisnik,0,1
špiljom,0,1
filtraciji,0,1
sretati,0,1
suradnicom,0,1
sprječila,0,1
mistificiranje,0,1
ministarsvo,0,1
lavande,0,1
korsite,0,1
haenesovac,0,1
sanjkao,0,1
presporog,0,1
algoritmi,0,1
bradu,0,1
derite,0,1
valovitu,0,1
procesnoj,0,1
magistratu,0,1
rendžeri,0,1
osnovalo,0,1
prepolovljenu,0,1
dvojezičnosti,0,1
prerežemo,0,1
potrošaču,0,1
automatiziranog,0,1
najtvrđi,0,1
črčkarije,0,1
mentorici,0,1
revitalizacijom,0,1
dopuštati,0,1
koljeno,0,1
hipofizi,0,1
suzdržavaju,0,1
šetaju,0,1
lobiralo,0,1
podmorju,0,1
tročlano,0,1
natukne,0,1
malograničnih,0,1
područlju,0,1
međugodišnjih,0,1
uštimati,0,1
taknemo,0,1
glagoljsku,0,1
ukrasnog,0,1
motorizirao,0,1
kašljanje,0,1
opsjednuto,0,1
personalni,0,1
nesposobnost,0,1
primirite,0,1
dominantnom,0,1
fetusa,0,1
zeolitom,0,1
proživljavate,0,1
razbijanjem,0,1
komplicirati,0,1
nepoznanicu,0,1
ukomponirano,0,1
nepostojećima,0,1
uguravši,0,1
bjelila,0,1
otkrićima,0,1
pospremljeno,0,1
trogodišnjakom,0,1
specijalnost,0,1
šunka,0,1
izlanula,0,1
raskopčanom,0,1
računicom,0,1
slobodar,0,1
paklenom,0,1
prenoćištu,0,1
priključiti,0,1
raspoznavao,0,1
zatočeništvo,0,1
ponajbolje,0,1
reciprociteta,0,1
bogatstvima,0,1
kolonijalistički,0,1
trudile,0,1
sveukupnoga,0,1
polufinalne,0,1
dodjela,0,1
vezanjem,0,1
kuhat,0,1
volje,0,1
pridonijevši,0,1
snalazilo,0,1
ometana,0,1
suhoparnom,0,1
rogači,0,1
seoskoga,0,1
koncerti,0,1
pouzdanog,0,1
posjećivao,0,1
dugačko,0,1
rekreativni,0,1
termostatskih,0,1
nautičarske,0,1
najzloglasnijem,0,1
gljivičnih,0,1
svećeničkoj,0,1
paketić,0,1
seljačka,0,1
predložila,0,1
etičku,0,1
srpnja,0,1
klupčice,0,1
hoćeš,0,1
neutemeljenim,0,1
vijećničkog,0,1
kamenčićem,0,1
parlamentom,0,1
stranog,0,1
trovali,0,1
ispiranje,0,1
periferiji,0,1
gojazni,0,1
gubitašu,0,1
davanjem,0,1
samuraji,0,1
nepraktične,0,1
povjesničarom,0,1
tlocrtni,0,1
nadomješteni,0,1
predviđale,0,1
protupožarnih,0,1
donesemo,0,1
sanitetskim,0,1
protuobavještajnoj,0,1
profinjene,0,1
elektroničara,0,1
najpogibeljnijim,0,1
čistile,0,1
guram,0,1
odvoditi,0,1
sklonostima,0,1
arhitekturne,0,1
vojne,0,1
ispočetka,0,1
umarao,0,1
krivovjeraca,0,1
propupale,0,1
smeđim,0,1
moljcima,0,1
heljde,0,1
komički,0,1
svibnjem,0,1
rožnati,0,1
partizanštinu,0,1
predodređene,0,1
zadivite,0,1
pijancu,0,1
istru,0,1
skalpeli,0,1
zagovaračkih,0,1
ugostiteljsko-turističkim,0,1
fokusiranja,0,1
kranovima,0,1
tatica,0,1
prozapadna,0,1
rabijatnim,0,1
svrstavale,0,1
draganu,0,1
mekša,0,1
nesvrhovito,0,1
procvjetala,0,1
popunjavam,0,1
voše,0,1
znanstveno-nastavnim,0,1
pobratimu,0,1
najudaljenije,0,1
prodefilirati,0,1
autocenzura,0,1
molić,0,1
lož-ulje,0,1
periskama,0,1
postojbina,0,1
glumatati,0,1
paradirala,0,1
prolila,0,1
cementirajući,0,1
jedinac,0,1
fakultetom,0,1
zgađeno,0,1
odviše,0,1
mazno,0,1
konzekventna,0,1
naturalne,0,1
nutricioniste,0,1
